Key,Type,Desc,English,Chinese (PRC),Chinese (Traditional),Japanese
a07/c3,Text,," Kio
【Ke ke ke... How can I do!! How!!】"," Kio
【咳咳咳，怎么办！怎么办！】"," Kio
【咳咳咳，怎麼辦！怎麼辦！】",
a07/c4,Text,," Kio
【Woooo.... I feel sick...】"," Kio
【呜呜呜呜，好难受啊。。。】"," Kio
【嗚嗚嗚嗚，好難受啊。。。】",
a07/c5,Text,," Kio
【I......】"," Kio
【我。。。。。。。。】"," Kio
【我。。。。。。。。】",
a07/c6,Text,," Kio
【I can't breath...】"," Kio
【我不行了。。。。。】"," Kio
【我不行了。。。。。】",
a08/a,Text,,DO NOT wander in this room,不要在这个房间随便走动。,不要在這個房間隨便走動。,
a11/a1,Text,," Kio
【Ah!? A monster!?】"," Kio
【啊，这是什么怪物？！】"," Kio
【啊，這是什麼怪物？！】",
a11/a2,Text,," Kio
【Huge.. And ugly...】"," Kio
【好巨型，好恶心。。。。。。】"," Kio
【好巨型，好噁心。。。。。。】",
a11/a3,Text,," Kio
【It's squirming.】"," Kio
【身体还一直在动。】"," Kio
【身體還一直在動。】",
a11/a4,Text,," Kio
【Ah!!!!】"," Kio
【啊！！！！！！！】"," Kio
【啊！！！！！！！】",
a11/a5,Text,," Kio
【What's that!!?】"," Kio
【什么东西！！】"," Kio
【什麼東西！！】",
a11/a6,Text,," Kio
【Stop there!!】"," Kio
【不要过来啦！！】"," Kio
【不要過來啦！！】",
a12/a0,Text,," Kio
【So many coffins...】"," Kio
【这里好多棺材。】"," Kio
【這裡好多棺材。】",
a12/a2,Text,," Kio
【I feel like there are some zombies will get out of  them.】"," Kio
【总觉得里面的东西会突然爬出来。】"," Kio
【總覺得裡面的東西會突然爬出來。】",
a12/a3,Text,," Kio
【Calm down. Don't figure out like this.】"," Kio
【不行，不要往这个方面想。】"," Kio
【不行，不要往這個方面想。】",
a12/a4,Text,," Kio
【Well, take a deep breath. Move on.】"," Kio
【没事的！不要吓自己。】"," Kio
【沒事的！不要嚇自己。】",
a12/b0,Text,," Kio
【There is something inside..】"," Kio
【里面好像有东西。。】"," Kio
【裡面好像有東西。。】",
a12/b1,Text,,Pick up the unknown stuff?,有一个奇怪的东西，是否拾取？,有一個奇怪的東西，是否拾取？,
a12/b2,Text,,Get a shrink gun,拾取了钥匙缩小枪,拾取了鑰匙縮小槍,
a12/c0,Text,," Kio
【!!!!】"," Kio
【！！！！】"," Kio
【！！！！】",
a12/c1,Text,," Kio
【What's this!?】"," Kio
【什么东西！？】"," Kio
【什麼東西！？】",
savepants/a01,Text,,A room,地牢密室,地牢密室,
a13/a,Text,,Bloodstain... Touch it?,这些血。。。。要摸一下？,這些血。。。。要摸一下？,
a13/a1,Text,," Kio
【A suspicious bloodstain.】"," Kio
【好可疑的血迹。】"," Kio
【好可疑的血跡。】",
items/kao,Text,," Kio
【handcuffs??】"," Kio
【手铐？？？】"," Kio
【手銬？？？】",
savepants/a14,Text,,Dungeon,地牢东南,地牢東南,
a15/a0,Text,,Pick the key?,有一把金色钥匙，是否拾取？,有一把金色鑰匙，是否拾取？,
a15/a1,Text,,Get a key,拾取了金色的钥匙,拾取了金色的鑰匙,
a15/b0,Text,," Kio
【A big key!】"," Kio
【好......好大的钥匙!】"," Kio
【好......好大的鑰匙!】",
a15/b1,Text,," Kio
【It's heavy. I can't carry it.】"," Kio
【好重，根本无法拿起。】"," Kio
【好重，根本無法拿起。】",
menus/door auto lock,Text,," Kio
【Why is the door locked automatically..?】"," Kio
【这门怎么自动锁上了？】"," Kio
【這門怎麼自動鎖上了？】",
a16/a0,Text,," Kio
【I feel something behind me...】"," Kio
【怎么感觉背后有股阴风。。。】"," Kio
【怎麼感覺背後有股陰風。。。】",
a16/a1,Text,," Kio
【It's a ghost!】"," Kio
【是。。。鬼。。。】"," Kio
【是。。。鬼。。。】",
a16/a2,Text,," Kio
【Run!!】"," Kio
【鬼啊！！快跑！！】"," Kio
【鬼啊！！快跑！！】",
savepants/a093,Text,,Storage,地牢杂物房,地牢雜物房,
a093/a0,Text,,Pick the pistol?,有一把手枪，是否拾取？,有一把手槍，是否拾取？,
a093/a1,Text,," Kio
【Is that a gun!?】"," Kio
【这里有一把手枪？！】"," Kio
【這裡有一把手槍？！】",
a093/a,Text,,Pick a pistol,拾取了手枪,拾取了手槍,
a093/a2,Text,," Kio
【Who left this here?】"," Kio
【是谁留下来的？】"," Kio
【是誰留下來的？】",
a093/a3,Text,," Kio
【Anybody here?】"," Kio
【有人吗？？】"," Kio
【有人嗎？？】",
a093/a4,Text,," Kio
【If the owner is gone, I am going to take it!】"," Kio
【没有人我拿走了哦！】"," Kio
【沒有人我拿走了哦！】",
a093/a5,Text,," Kio
【I am going to!】"," Kio
【我拿了哦！！】"," Kio
【我拿了哦！！】",
a093/a6,Text,," Kio
【\0.5.\0.5.\0.5.\0.5.\0.5.\0.5.\0.5】"," Kio
【\0.5。\0.5。\0.5。\0.5。\0.5。\0.5。\0.5】"," Kio
【\0.5。\0.5。\0.5。\0.5。\0.5。\0.5。\0.5】",
a093/a7,Text,," Kio
【In any case, I'd better to carry it.】"," Kio
【以防万一还是拿走吧。】"," Kio
【以防萬一還是拿走吧。】",
a093/a8,Text,," Kio
【Although I am not used to fire and shoot.】"," Kio
【虽然不太会用枪。】"," Kio
【雖然不太會用槍。】",
a093/a9,Text,," Kio
【I feel safe if I carry a gun.】"," Kio
【但是拿着会有安全感。】"," Kio
【但是拿著會有安全感。】",
a093/a10,Text,," Kio
【It's greatly useful when fighting against something.】"," Kio
【遇到危险乱射一通也好。】"," Kio
【遇到危險亂射一通也好。】",
a093/a11,Text,," Kio
【I decide to take it. Thank you stranger.】"," Kio
【不管了！我要拿走！】"," Kio
【不管了！我要拿走！】",
a093/b0,Text,,Pick the first-aid packet?,有一个急救包，是否拾取？,有一個急救包，是否拾取？,
a093/b,Text,,Get a first-aid packet,拾取了医疗包,拾取了醫療包,
a093/b1,Text,," Kio
【Oh I found a first-aid packet.】"," Kio
【这里有个医疗包。】"," Kio
【這裡有個醫療包。】",
a093/b2,Text,," Kio
【I don't care who owns this.】"," Kio
【虽然感觉拿走别人的东西不好。】"," Kio
【雖然感覺拿走別人的東西不好。】",
a093/b3,Text,," Kio
【It belongs to me now!】"," Kio
【但我现在不管了，我要拿走！】"," Kio
【但我現在不管了，我要拿走！】",
ac01/gui0,Text,,Open the drawer?,是否打开抽屉？,是否打開抽屜？,
ac01/gui,Text,," Kio
【A weird picture.】"," Kio
【一张诡异的照片。】"," Kio
【一張詭異的照片。】",
ac01/gui2,Text,," Kio
【Who is he in this photo?】"," Kio
【不知道是谁的。】"," Kio
【不知道是誰的。】",
menus/no need enter,Text,," Kio
【I feel like that I don't need to get in again.】 "," Kio
【没有再进去的必要了。】 "," Kio
【沒有再進去的必要了。】",
ac01/t0,Text,,Leave your body,只把肉留下来,只把肉留下來,
ac01/t1,Text,,Discard bones and organs,骨头与内脏都不要了,骨頭與內臟都不要了,
ac01/t2,Text,," Kio
【What does it mean?】"," Kio
【这是什么鬼？】"," Kio
【這是什麼鬼？】",
ac01/t3,Text,," Kio
【Leave my body?】"," Kio
【只把肉留下来？】"," Kio
【只把肉留下來？】",
ac01/tt0,Text,,Can't get out of the dungeon,不要让任何人从地牢逃走,不要讓任何人從地牢逃走,
ac01/tt1,Text,," Kio
【Dungeon? Here?】"," Kio
【这里是地牢？】"," Kio
【這裡是地牢？】",
ac01/tt2,Text,," Kio
【I am sure I was in Mcdondon a short moment ago.】"," Kio
【我明明在麦当当啊。】"," Kio
【我明明在麥當當啊。】",
ac01/tt3,Text,," Kio
【However, It looks like dungeon here.】"," Kio
【不过这里的确很像地牢。】"," Kio
【不過這裡的確很像地牢。】",
ac01/ttt0,Text,,Get in the door,如果想死的话,如果想死的話,
ac01/ttt1,Text,,If you dare,就进旁边的门吧,就進旁邊的門吧,
ac01/ttt2,Text,," Kio
【Is that a trick?】"," Kio
【什么恶作剧？】"," Kio
【什麼惡作劇？】",
ac01/ttt3,Text,," Kio
【Not funny!】"," Kio
【谁这么无聊写这些字条。】"," Kio
【誰這麼無聊寫這些字條。】",
ac01/picture,Text,," Kio
【A scary picture.】"," Kio
【一张奇怪的油画。】"," Kio
【一張奇怪的油畫。】",
ac01/picture1,Text,," Kio
【it seems to be able to put things in at the head and heart position.】"," Kio
【头与心脏的位置似乎能放东西进去。】"," Kio
【頭與心臟的位置似乎能放東西進去。】",
ac01/gap,Text,," Kio
【A crack. Nothing is special.】"," Kio
【裂痕，没什么特别的。】"," Kio
【裂痕，沒什麼特別的。】",
savepants/ac02,Text,,Corridor,地牢长廊,地牢長廊,
ac02/a0,Text,," Kio
【Crazy! Crazy!】"," Kio
【呼！呼！呼！呼！！】"," Kio
【呼！呼！呼！呼！！】",
ac02/a1,Text,," Kio
【Scary!】"," Kio
【吓死我了！！】"," Kio
【嚇死我了！！】",
ac02/a2,Text,," Kio
【I though I was going to die!】"," Kio
【还以为自己刚刚要死了。】"," Kio
【還以為自己剛剛要死了。】",
ac02/t0,Text,,No one can escape,不允许有人从这里逃出去,不允許有人從這裡逃出去,
ac02/t1,Text,,Discard bones and organs,骨头与内脏都不要了,骨頭與內臟都不要了,
ac02/tt0,Text,,Everyone have to die,所人有都要处死,所人有都要處死,
ac02/tt1,Text,,No matter who,不分男女,不分男女,
ac02/tt2,Text,," Kio
【Threaten...】"," Kio
【好可怕。】"," Kio
【好可怕。】",
ac03/a0,Text,," Kio
【Roaches...】"," Kio
【蟑螂。。。。。。】"," Kio
【蟑螂。。。。。。】",
ac03/a2,Text,," Kio
【Too many roaches!!】"," Kio
【好多蟑螂！！！】"," Kio
【好多蟑螂！！！】",
ac03/a3,Text,," Kio
【But this is the only way to go.】"," Kio
【但是这是唯一一条路。】"," Kio
【但是這是唯一一條路。】",
ac03/a4,Text,," Kio
【....】"," Kio
【怎么办。。。。。。】"," Kio
【怎麼辦。。。。。。】",
ac03/a5,Text,," Kio
【Deep breath, and go through it.】"," Kio
【鼓起勇气一口气走过去吧。】"," Kio
【鼓起勇氣一口氣走過去吧。】",
ac03/b0,Text,," Kio
【Quickly move.】"," Kio
【不想看。】"," Kio
【不想看。】",
ac04/a0,Text,," Kio
【disgusting.】"," Kio
【好恶心。】"," Kio
【好噁心。】",
b02/good self,Text,," Kio
【There are books in the bookcase.】"," Kio
【书柜上放满了书。】"," Kio
【書櫃上放滿了書。】",
b02/bad self,Text,," Kio
【Bookcase fell.】"," Kio
【书柜倒下了，地上都是书。】"," Kio
【書櫃倒下了，地上都是書。】",
b02/dont go back,Text,," Kio
【I don't want to go back.】"," Kio
【不想再下去。】"," Kio
【不想再下去。】",
b02/no head,Text,," Kio
【His head is gone...】"," Kio
【头也没有了，好可怕。】"," Kio
【頭也沒有了，好可怕。】",
b02/dead,Text,," Kio
【He's dead for long.】"," Kio
【已经断气了。】"," Kio
【已經斷氣了。】",
b02/picture,Text,," Kio
【A painting. Nothing special.】"," Kio
【普通的挂画，没什么特别。】"," Kio
【普通的掛畫，沒什麼特別。】",
b02/.....,Text,," Kio
【...........】"," Kio
【。。。。。。】"," Kio
【。。。。。。】",
b02/a0,Text,," Kio
【Whooo...Finally I am out.】"," Kio
【呼呼呼！终于逃出来了！】"," Kio
【呼呼呼！終於逃出來了！】",
b02/a2,Text,," Kio
【What was that stupid dungeon. Why was I there?】"," Kio
【刚刚的到底是什么地方啊，怎么我会在里面的。】"," Kio
【剛剛的到底是什麼地方啊，怎麼我會在裡面的。】",
b02/a3,Text,," Kio
【Eh!? This place!?】"," Kio
【咦？！这里是！？】"," Kio
【咦？！這裡是！？】",
b02/a4,Text,," Kio
【Is it a library?】"," Kio
【这里不就是图书馆吗？】"," Kio
【這裡不就是圖書館嗎？】",
b02/a5,Text,," Kio
【Why is there a scary dungeon under the library!?】"," Kio
【怎么图书馆下面会有一个这么恐怖的地下室？！】"," Kio
【怎麼圖書館下面會有一個這麼恐怖的地下室？！】",
b02/a6,Text,," Kio
【Am I in a nightmare!?】"," Kio
【我是不是在做恶梦。】"," Kio
【我是不是在做惡夢。】",
b02/a7,Text,," Kio
【(Pinch her face strongly)】"," Kio
【（用力捏了一下自己的脸）】"," Kio
【（用力捏了一下自己的臉）】",
b02/a8,Text,," Kio
【Painful!!!】"," Kio
【好痛！！！！！！！！】"," Kio
【好痛！！！！！！！！】",
b02/b1,Text,," Injured man
【(sign)....】"," 受伤的人
【咳咳。。。。。。】"," 受傷的人
【咳咳。。。。。。】",
b02/b2,Text,," Kio
【Ah! Somebody is still alive!】"," Kio
【啊！有活着的人！】"," Kio
【啊！有活著的人！】",
b02/b3,Text,," Kio
【Are you all right?】"," Kio
【你没事吧！？】"," Kio
【你沒事吧！？】",
b02/b4,Text,," Injured man
【I...I am dying...】"," 受伤的人
【我应该快要死掉了，咳咳。。。。。。】"," 受傷的人
【我應該快要死掉了，咳咳。。。。。。】",
b02/b5,Text,," Kio
【Please!! Hold on!!】"," Kio
【喂啊！坚持住啊！】"," Kio
【喂啊！堅持住啊！】",
b02/b6,Text,," Kio
【You are the only survivor I have met!!】"," Kio
【好不容易见到一个活人，你不要挂啊！】"," Kio
【好不容易見到一個活人，你不要掛啊！】",
b02/b7,Text,," Kio
【Please!! Don't!! Boohoo...】"," Kio
【呜呜呜呜呜呜呜呜！】"," Kio
【嗚嗚嗚嗚嗚嗚嗚嗚！】",
b02/b8,Text,," Injured man
【I am running out of time, be careful yourself....】"," 受伤的人
【我真的快坚持不住了，你要小心啊。】"," 受傷的人
【我真的快堅持不住了，你要小心啊。】",
b02/b9,Text,," Kio
【What happened to this world!?】"," Kio
【这里到底怎么了，为什么会变成这样？】"," Kio
【這裡到底怎麼了，為什麼會變成這樣？】",
b02/b10,Text,," Injured man
【I don't know. There are a lot of monsters after an earthquake.】"," 受伤的人
【我也不知道，地震之后，就出现很多怪物。】"," 受傷的人
【我也不知道，地震之後，就出現很多怪物。】",
b02/b11,Text,," Injured man
【I thought it should be safe in the library.】"," 受伤的人
【这里外面已经沦陷了，本以为图书馆会安全。】"," 受傷的人
【這裡外面已經淪陷了，本以為圖書館會安全。】",
b02/b12,Text,," Injured man
【But I was wrong...】"," 受伤的人
【结果怪物还是不知道从哪儿进来。】"," 受傷的人
【結果怪物還是不知道從哪兒進來。】",
b02/b13,Text,," Injured man
【It is like... Time and space is turning chaotic.】"," 受伤的人
【感觉，时间和空间都错乱了。】"," 受傷的人
【感覺，時間和空間都錯亂了。】",
b02/b14,Text,," Injured man
【Library becomes baffling...】"," 受伤的人
【图书馆也变得莫名其妙，咳咳。。。。。。】"," 受傷的人
【圖書館也變得莫名其妙，咳咳。。。。。。】",
b02/b15,Text,," Injured man
【Beware of the dangerous snares around here.】"," 受伤的人
【图书馆居然还出现杀人的机关，你要小心啊。。】"," 受傷的人
【圖書館居然還出現殺人的機關，你要小心啊。。】",
b02/b16,Text,," Injured man
【Are you still here....?】"," 受伤的人
【我快不行了。。。。。。】"," 受傷的人
【我快不行了。。。。。。】",
b02/b17,Text,," Kio
【Yes! Yes! Look at me!】"," Kio
【挺住啊！你你。。。你。。。】"," Kio
【挺住啊！你你。。。你。。。】",
b02/b18,Text,," Injured man
【I feel.. sleepy...(passed)】"," 受伤的人
【再见了。。。。。（断气）】"," 受傷的人
【再見了。。。。。（斷氣）】",
b02/b19,Text,," Kio
【Boohooo!! NO!!】"," Kio
【呜呜呜呜！！啊啊啊！不要死啊！】"," Kio
【嗚嗚嗚嗚！！啊啊啊！不要死啊！】",
b02/b20,Text,," Kio
【I am afraid!!!】"," Kio
【我自己一个好害怕。】"," Kio
【我自己一個好害怕。】",
b02/b21,Text,," Kio
【You are the only hope.. But....】"," Kio
【看到活人还觉得有点希望，结果。。。。。。】"," Kio
【看到活人還覺得有點希望，結果。。。。。。】",
b02/b22,Text,," Kio
【At least tell me your name....】"," Kio
【起码让我知道你的名字嘛。。。。。。】"," Kio
【起碼讓我知道你的名字嘛。。。。。。】",
b02/b23,Text,," Kio
【Boohoooooo....】"," Kio
【呜呜呜呜。。。。。。】"," Kio
【嗚嗚嗚嗚。。。。。。】",
b02/c0,Text,," Kio
【Ah!!!】"," Kio
【吓。。。。】"," Kio
【嚇。。。。】",
b02/c1,Text,," Kio
【Horrible!!!】"," Kio
【吓死我了！！！】"," Kio
【嚇死我了！！！】",
b02/hole,Text,," Kio
【Rat hole!?】"," Kio
【老鼠洞！？】"," Kio
【老鼠洞！？】",
b02/hole2,Text,,Get inside the hole?,要钻进去看看不？,要鑽進去看看不？,
b02/e0,Text,," Kio
【A cold wind... It makes me shivery.】"," Kio
【怎么身体还是感觉毛毛的。】"," Kio
【怎麼身體還是感覺毛毛的。】",
b02/e1,Text,," Kio
【Is that ghost still following me?】"," Kio
【难道刚刚的女鬼还没甩掉吗？】"," Kio
【難道剛剛的女鬼還沒甩掉嗎？】",
b02/e2,Text,," Kio
【I'd better to move quickly. Don't think too much.】"," Kio
【还是不要想了，赶紧离开这里。】"," Kio
【還是不要想了，趕緊離開這裡。】",
b02/e3,Text,," Kio
【it's creepy here.】"," Kio
【这里让人毛骨悚然的。】"," Kio
【這裡讓人毛骨悚然的。】",
b02/e4,Text,," Kio
【!!!!!!!!!!】"," Kio
【！！！！！！！！】"," Kio
【！！！！！！！！】",
b02/e5,Text,," Kio
【The light!!!!】"," Kio
【灯！！！！！！！！！】"," Kio
【燈！！！！！！！！！】",
b02/e6,Text,," Kio
【Who turned the light off!! I can't see anything!!】"," Kio
【灯怎么灭了！！什么都看不到！】"," Kio
【燈怎麼滅了！！什麼都看不到！】",
b02/e7,Text,," Kio
【Who is there!!】"," Kio
【是谁！！！！！！】"," Kio
【是誰！！！！！！】",
b02/e8,Text,," Kio
【Don't scare me!!】"," Kio
【赶紧给我出来！！！不要吓我好吗！！】"," Kio
【趕緊給我出來！！！不要嚇我好嗎！！】",
b02/e9,Text,," Illusion
【Kio......】"," Illusion
【Kio。。。。。。】"," Illusion
【Kio。。。。。。】",
b02/e10,Text,," Illusion
【It's me...】"," Illusion
【是我。。。。。。】"," Illusion
【是我。。。。。。】",
b02/e11,Text,," Kio
【Ahhhhh!!!】"," Kio
【啊啊啊！！！！！啊！！！！！】"," Kio
【啊啊啊！！！！！啊！！！！！】",
b02/e12,Text,," Kio
【No!!!!!!】"," Kio
【啊啊啊啊啊！！！！！！！！！！！！】"," Kio
【啊啊啊啊啊！！！！！！！！！！！！】",
b02/e13,Text,," Kio
【I am sorry!! Sorry!!】"," Kio
【对！！！对不起！！！！对不起！！】"," Kio
【對！！！對不起！！！！對不起！！】",
b02/e14,Text,," Kio
【Forgive me!!】"," Kio
【原谅我！！！原谅我！！】"," Kio
【原諒我！！！原諒我！！】",
b02/e15,Text,," Kio
【I don't wish to place your head anywhere.】"," Kio
【我也不想拿你的头到处放的。】"," Kio
【我也不想拿你的頭到處放的。】",
b02/e16,Text,," Illusion
【Kio....】"," Illusion
【Kio。。。】"," Illusion
【Kio。。。】",
b02/e17,Text,," Illusion
【I am not going to blame you..】"," Illusion
【我没责怪你。。】"," Illusion
【我沒責怪你。。】",
b02/e18,Text,," Illusion
【Domini is still alive..】"," Illusion
【多明妮还活着。。。】"," Illusion
【多明妮還活著。。。】",
b02/e19,Text,," Illusion
【Go and save  her..】"," Illusion
【你快去救她。。】"," Illusion
【你快去救她。。】",
b02/e20,Text,," Kio
【Ah...】"," Kio
【啊。。。。】"," Kio
【啊。。。。】",
b02/e21,Text,," Kio
【But...I....】"," Kio
【那。。。。那我。。。】"," Kio
【那。。。。那我。。。】",
b02/e22,Text,," Kio
【How can I make it!?】"," Kio
【那我该怎么办！】"," Kio
【那我該怎麼辦！】",
b02/e23,Text,," Illusion
【Here is a map which is useful to you.】"," Illusion
【这里有张地图，可以指引你离开图书馆。】"," Illusion
【這裡有張地圖，可以指引你離開圖書館。】",
b02/e24,Text,," Illusion
【Be careful when reading it.】"," Illusion
【不过，使用的时候要小心。】"," Illusion
【不過，使用的時候要小心。】",
b02/e25,Text,," Kio
【Thank you...】"," Kio
【谢。。。。谢谢你。。】"," Kio
【謝。。。。謝謝你。。】",
b02/e26,Text,," Kio
【Thank you very much!!illusion!!】"," Kio
【谢谢你！！illusion！！！】"," Kio
【謝謝你！！illusion！！！】",
b02/e27,Text,," Kio
【I promise I will save Domini!!】"," Kio
【我一定会把多明妮救出来的！！！】"," Kio
【我一定會把多明妮救出來的！！！】",
b02/e28,Text,," Illusion
【Um..I am leaving...】"," Illusion
【嗯。。。。那我先走了。。。】"," Illusion
【嗯。。。。那我先走了。。。】",
b02/e29,Text,," Illusion
【The last thing...】"," Illusion
【对了。。。Kio】"," Illusion
【對了。。。Kio】",
b02/e30,Text,," Illusion
【It's suffering when I am dead...】"," Illusion
【死后，非常痛苦。。。非常的痛苦。。】"," Illusion
【死後，非常痛苦。。。非常的痛苦。。】",
b02/c map,Text,,Get a cursed map,获得受诅咒的地图,獲得受詛咒的地圖,
b03/map,Text,," Kio
【A map. Nothing special.】"," Kio
【普通的地图，没什么特别。】"," Kio
【普通的地圖，沒什麼特別。】",
b03/r1,Text,," Kio
【Wow!! Stinky!!】"," Kio
【哇！好臭！！！！】"," Kio
【哇！好臭！！！！】",
b03/r2,Text,," Kio
【Who left the rubbish here!】"," Kio
【怎么有这么多垃圾在这里。】"," Kio
【怎麼有這麼多垃圾在這裡。】",
b03/m0,Text,," Kio
【Unknown machine..】"," Kio
【不知道是什么机器。】"," Kio
【不知道是什麼機器。】",
b04/c0,Text,,Get a gas mask,拾取了防毒面具,拾取了防毒面具,
b04/c1,Text,," Kio
【A stopping clock.】"," Kio
【静止的时钟，似乎坏掉了。】"," Kio
【靜止的時鐘，似乎壞掉了。】",
b04/c2,Text,," Kio
【Um??】"," Kio
【嗯？？？】"," Kio
【嗯？？？】",
b04/c3,Text,," Kio
【It seems like a gear is missed.】"," Kio
【里面缺失了齿轮？】"," Kio
【裡面缺失了齒輪？】",
b04/c4,Text,," Kio
【The clock begins ticking.】"," Kio
【时钟开始动了。】"," Kio
【時鐘開始動了。】",
b04/c5,Text,," Kio
【Something appears at the bottom?】"," Kio
【下面有东西伸了出来？】"," Kio
【下面有東西伸了出來？】",
menus/door lock other side,Text,,Locked from other side,门貌似从另一边锁上了,門貌似從另一邊鎖上了,
b05/c,Text,," Kio
【A hanging corpse....】"," Kio
【吊死了的尸体。。。。。。】"," Kio
【吊死了的屍體。。。。。。】",
b05/a1,Text,," Kio
【What is this?】"," Kio
【不知道是什么。】"," Kio
【不知道是什麼。】",
b05/a2,Text,," Kio
【It's bleeding...】"," Kio
【有血从里面渗出来。】"," Kio
【有血從裡面滲出來。】",
b06/map,Text,," Kio
【A map of the city. Nothing special.】"," Kio
【一张城市的地图，没什么特别。】"," Kio
【一張城市的地圖，沒什麼特別。】",
b07/w,Text,,Look into the well?,要探头下去看看？,要探頭下去看看？,
b07/door,Text,,Door is locked,门紧紧的闭上,門緊緊的閉上,
b07/m0,Text,," Kio
【An unknown machine.】"," Kio
【不知道是什么机器。】"," Kio
【不知道是什麼機器。】",
b07/wrong,Text,,Detect fail,检测错误,檢測錯誤,
b07/right,Text,,Detect pass,检测正确,檢測正確,
b07/suit up,Text,,Please suit up before enter,请佩戴好防毒套装进入,請佩戴好防毒套裝進入,
b07/a0,Text,," Kio
【I think I can get in the room safely now.】"," Kio
【这样应该做好安全措施了吧。】"," Kio
【這樣應該做好安全措施了吧。】",
b07/a2,Text,," Kio
【Here we go.】"," Kio
【那我出发了。】"," Kio
【那我出發了。】",
b07/no suit,Text,,Require Anti-gas suit,要有防毒套装的工作人员方可进入,要有防毒套裝的工作人員方可進入,
b08/a,Text,," Kio
【Ah! Is here the poison gas?】"," Kio
【哇！这里！！都是毒气！】"," Kio
【哇！這裡！！都是毒氣！】",
b08/a2,Text,," Kio
【It looks like there is insufficient oxygen in my suit.】"," Kio
【防毒套装的氧气似乎不多。】"," Kio
【防毒套裝的氧氣似乎不多。】",
b08/a3,Text,," Kio
【I'd better hurry to get out of here.】"," Kio
【得赶紧从这里逃出去才行。】"," Kio
【得趕緊從這裡逃出去才行。】",
menus/puzzle wrong,Text,,Error,输入错误,輸入錯誤,
menus/pick library key,Text,,Get a library key,获得图书馆大门钥匙,獲得圖書館大門鑰匙,
menus/door open sound,Text,,Sounds like door is opened,门开了的声音,門開了的聲音,
b10/a0,Text,," Kio
【Well, I can leave library with this key now.】"," Kio
【现在取得了大门钥匙，应该可以离开图书馆了。】"," Kio
【現在取得了大門鑰匙，應該可以離開圖書館了。】",
bc02/aaa,Text,," Kio
【Ahhhhhhh!!!】"," Kio
【啊啊啊啊啊啊啊啊啊！】"," Kio
【啊啊啊啊啊啊啊啊啊！】",
bc03/a,Text,," Kio
【(Sign) Finally I am out!】"," Kio
【呼呼！终于出来了！】"," Kio
【呼呼！終於出來了！】",
bc03/a2,Text,," Kio
【I think I don't need the anti-gas suit any more.】"," Kio
【防毒套装也不需要了。】"," Kio
【防毒套裝也不需要了。】",
bc03/a3,Text,," Kio
【I was almost dead.】"," Kio
【终于能呼吸新鲜空气了。】"," Kio
【終於能呼吸新鮮空氣了。】",
bc03/a4,Text,," Kio
【Thanks to the fresh air.】"," Kio
【刚刚差点被憋死。】"," Kio
【剛剛差點被憋死。】",
bc03/a5,Text,," Kio
【I have the library key now. I can leave this place.】"," Kio
【现在取得了大门钥匙，应该可以离开图书馆了。】"," Kio
【現在取得了大門鑰匙，應該可以離開圖書館了。】",
bc03/hint,Text,,Take off the suit,丢掉防毒套装,丟掉防毒套裝,
items/kick?,Text,,Kick it?,用力拍它一下？,用力拍它一下？,
items/get a can,Text,,Get a can,拾取了一罐广州汽水,拾取了一罐廣州汽水,
bstreet/bus,Text,," Kio
【Listen! Somebody talks in the bus. Is there any survivor here?】"," Kio
【里面貌似有人在说话，难道有其他活人？】"," Kio
【裡面貌似有人在說話，難道有其他活人？】",
bstreet/bus hint,Text,,Get in the bus?,要进去看看不？,要進去看看不？,
cstreet/get in laudry,Text,,Get in the laudry machine?,一台洗衣机，要钻进去吗？,一台洗衣機，要鑽進去嗎？,
dream2/a0,Text,," Domini
【Cough!】"," 多明妮
【咳咳！】"," 多明妮
【咳咳！】",
dream2/a1,Text,," Domini
【Cough cough!!】"," 多明妮
【咳咳咳咳咳！】"," 多明妮
【咳咳咳咳咳！】",
dream2/a2,Text,," Domini
【Kio!!!!】"," 多明妮
【Kio！！！】"," 多明妮
【Kio！！！】",
dream2/a3,Text,," Domini
【Help!!】"," 多明妮
【救我！！】"," 多明妮
【救我！！】",
dream2/a4,Text,," Domini
【Help me!!】"," 多明妮
【救救我啊！！】"," 多明妮
【救救我啊！！】",
dream2/a5,Text,," Domini
【Boohoo!!】"," 多明妮
【呜呜呜呜呜呜呜！！】"," 多明妮
【嗚嗚嗚嗚嗚嗚嗚！！】",
jihe/radio,Text,," Kio
【Some voice....】"," Kio
【好像有什么声音在响。】"," Kio
【好像有什麼聲音在響。】",
jihe/lock hint,Text,,"It locks, need a key to open",锁着的，需要钥匙才能打开,鎖著的，需要鑰匙才能打開,
jihe/open hint,Text,,it's opened,打开了,打開了,
jihe/a0,Text,," Hardy
【Why!】"," 哈迪
【为什么，为什么他们都不听我的。】"," 哈迪
【為什麼，為什麼他們都不聽我的。】",
jihe/a1,Text,," Hardy
【Why they don't accept me.】"," 哈迪
【为什么他们都不听我的建议。】"," 哈迪
【為什麼他們都不聽我的建議。】",
jihe/a2,Text,," Hardy
【You force me.】"," 哈迪
【是你们逼我的。】"," 哈迪
【是你們逼我的。】",
jihe/a3,Text,," Hardy
【That's you force me!!!】"," 哈迪
【是你们逼我的！！】"," 哈迪
【是你們逼我的！！】",
